transaction_id,flight_id,transaction_time,scheduled_departure_time,departure_delay_minutes,is_international,destination_region,traveler_type,income_segment,product_category,product_name,unit_price_usd,quantity,total_amount_usd
28,14,2025-09-29 08:58:00,2025-09-29 11:00:00,89,False,Asia,Business,Ultra High,Leather,Serpenti Forever Bag,2100,2,4200
135,66,2025-09-09 16:14:00,2025-09-09 19:00:00,62,True,Domestic,Leisure,High,Fragrance,Le Gemme Tygar,260,1,260
201,99,2025-09-12 17:58:00,2025-09-12 20:00:00,115,False,Domestic,Luxury Shopper,Ultra High,Fragrance,Le Gemme Tygar,260,1,260
840,415,2025-09-02 07:13:00,2025-09-02 09:00:00,100,True,Asia,Business,Ultra High,Jewelry,Serpenti Ring,6800,1,6800
780,385,2025-09-07 14:17:00,2025-09-07 16:00:00,60,True,Asia,Business,Ultra High,Leather,Bulgari Tote,1800,1,1800
930,460,2025-09-09 09:26:00,2025-09-09 10:00:00,7,True,Asia,Leisure,Ultra High,Jewelry,Divas’ Dream Earrings,7400,1,7400
33,16,2025-09-25 12:04:00,2025-09-25 15:00:00,42,False,Middle East,Luxury Shopper,Ultra High,Fragrance,Le Gemme Tygar,260,1,260
48,22,2025-09-01 11:25:00,2025-09-01 13:00:00,102,True,Domestic,Leisure,High,Jewelry,B.Zero1 Necklace,5200,1,5200
503,251,2025-09-29 04:37:00,2025-09-29 07:00:00,30,True,Middle East,Business,Ultra High,Fragrance,Omnia Crystalline,180,2,360
407,207,2025-09-18 08:27:00,2025-09-18 11:00:00,9,False,Asia,Business,High,Jewelry,B.Zero1 Necklace,5200,1,5200
574,284,2025-09-22 16:19:00,2025-09-22 18:00:00,40,True,Domestic,Business,Ultra High,Fragrance,Omnia Crystalline,180,1,180
728,359,2025-09-22 18:02:00,2025-09-22 20:00:00,25,True,Asia,Business,High,Leather,Bulgari Tote,1800,1,1800
805,398,2025-09-13 04:40:00,2025-09-13 06:00:00,94,False,Europe,Business,Ultra High,Leather,Serpenti Forever Bag,2100,1,2100
99,50,2025-09-27 10:55:00,2025-09-27 13:00:00,73,True,Domestic,Business,High,Fragrance,Omnia Crystalline,180,1,180
684,335,2025-09-29 04:17:00,2025-09-29 07:00:00,72,False,Asia,Leisure,High,Leather,Bulgari Tote,1800,2,3600
872,432,2025-09-25 19:13:00,2025-09-25 22:00:00,103,True,Europe,Business,High,Leather,Bulgari Tote,1800,1,1800
726,358,2025-09-03 15:17:00,2025-09-03 17:00:00,11,False,Asia,Leisure,Ultra High,Watch,Octo Finissimo,12800,1,12800
987,493,2025-09-03 10:28:00,2025-09-03 12:00:00,79,True,Asia,Luxury Shopper,Ultra High,Fragrance,Omnia Crystalline,180,1,180
547,273,2025-09-02 10:03:00,2025-09-02 11:00:00,16,True,Asia,Luxury Shopper,Ultra High,Jewelry,B.Zero1 Necklace,5200,1,5200
961,480,2025-09-04 16:09:00,2025-09-04 19:00:00,93,True,Europe,Luxury Shopper,High,Leather,Bulgari Tote,1800,1,1800
739,364,2025-09-10 19:04:00,2025-09-10 21:00:00,96,True,Domestic,Leisure,High,Leather,Serpenti Forever Bag,2100,1,2100
613,302,2025-09-02 05:20:00,2025-09-02 07:00:00,91,True,Asia,Leisure,High,Jewelry,Serpenti Ring,6800,1,6800
943,468,2025-09-28 04:01:00,2025-09-28 07:00:00,47,False,Domestic,Business,High,Fragrance,Omnia Crystalline,180,1,180
462,231,2025-09-13 10:08:00,2025-09-13 11:00:00,93,False,Europe,Leisure,High,Fragrance,Omnia Crystalline,180,2,360
643,317,2025-09-16 18:44:00,2025-09-16 21:00:00,83,True,Asia,Business,Ultra High,Leather,Bulgari Tote,1800,1,1800
769,378,2025-09-21 19:42:00,2025-09-21 22:00:00,100,False,Asia,Leisure,High,Watch,Serpenti Watch,14500,1,14500
5,3,2025-09-23 19:43:00,2025-09-23 22:00:00,17,True,Europe,Business,Ultra High,Jewelry,Divas’ Dream Earrings,7400,1,7400
218,111,2025-09-23 06:55:00,2025-09-23 09:00:00,42,True,Asia,Leisure,Ultra High,Jewelry,Serpenti Ring,6800,1,6800
503,251,2025-09-29 04:37:00,2025-09-29 07:00:00,30,True,Middle East,Business,Ultra High,Fragrance,Omnia Crystalline,180,2,360
767,377,2025-09-19 15:22:00,2025-09-19 18:00:00,32,True,Europe,Business,High,Fragrance,Le Gemme Tygar,260,2,520
398,202,2025-09-26 05:43:00,2025-09-26 07:00:00,90,False,Asia,Business,Ultra High,Jewelry,Divas’ Dream Earrings,7400,1,7400
871,432,2025-09-25 19:33:00,2025-09-25 22:00:00,103,True,Asia,Leisure,High,Fragrance,Le Gemme Tygar,260,2,520
795,393,2025-09-26 18:22:00,2025-09-26 20:00:00,34,True,Europe,Business,Ultra High,Leather,Bulgari Tote,1800,1,1800
393,201,2025-09-23 13:53:00,2025-09-23 16:00:00,23,False,Europe,Luxury Shopper,High,Watch,Octo Finissimo,12800,1,12800
207,103,2025-09-06 04:59:00,2025-09-06 07:00:00,105,False,Europe,Business,High,Leather,Serpenti Forever Bag,2100,2,4200
15,7,2025-09-21 03:52:00,2025-09-21 06:00:00,56,True,Asia,Leisure,High,Fragrance,Omnia Crystalline,180,1,180
858,426,2025-09-20 06:01:00,2025-09-20 09:00:00,23,True,Asia,Business,High,Jewelry,B.Zero1 Necklace,5200,1,5200
554,275,2025-09-30 07:25:00,2025-09-30 09:00:00,17,False,Europe,Leisure,High,Jewelry,Serpenti Ring,6800,1,6800
892,441,2025-09-19 13:06:00,2025-09-19 15:00:00,105,False,Asia,Luxury Shopper,High,Leather,Serpenti Forever Bag,2100,1,2100
461,230,2025-09-21 08:07:00,2025-09-21 09:00:00,58,True,Domestic,Leisure,High,Fragrance,Omnia Crystalline,180,1,180
691,339,2025-09-02 16:22:00,2025-09-02 17:00:00,80,True,Domestic,Luxury Shopper,Ultra High,Leather,Bulgari Tote,1800,1,1800
